"id","nombre","direccion","distrito","capacidad","estado"
306,"I.E. José Faustino Sánchez Carrión","Av. Los Alisos 5709","El Agustino",2000,"Activo"
307,"I.E. Santa Rosa","Av. Wiesse 3806","Carabayllo",1850,"Activo"
308,"Instituto Leoncio Prado","Av. Universitaria 5568","Los Olivos",4350,"Activo"
309,"Colegio José Olaya","Av. Abancay 3216","Lurín",3700,"Activo"
310,"Instituto Abraham Valdelomar","Av. La Marina 8149","Los Olivos",4800,"Activo"
311,"Universidad José María Arguedas","Av. Arequipa 3046","La Victoria",750,"Activo"
312,"Colegio Túpac Amaru","Av. Abancay 8434","La Molina",1200,"Activo"
313,"Universidad Víctor Raúl Haya de la Torre","Av. Arequipa 9823","Punta Negra",4850,"Activo"
314,"Universidad Nuestra Señora de Guadalupe","Av. Túpac Amaru 7914","Punta Hermosa",4950,"Activo"
315,"Centro Educativo Andrés Avelino Cáceres","Av. Próceres de la Independencia 119","El Agustino",1200,"Activo"
316,"Instituto Santa Rosa","Av. Los Alisos 8210","Lima",950,"Activo"
317,"I.E. José Gálvez","Av. Abancay 8810","Pachacámac",900,"Activo"
318,"Colegio Alfonso Ugarte","Av. Aviación 3212","Pucusana",1300,"Activo"
319,"Colegio Nuestra Señora de Guadalupe","Av. Los Próceres 1389","Surquillo",4700,"Activo"
320,"Centro Educativo José Olaya","Av. La Marina 1802","Surquillo",1700,"Activo"
321,"Universidad Abraham Valdelomar","Av. Angamos 2799","Lince",2000,"Activo"
322,"I.E. Leoncio Prado","Av. Angamos 8179","Pachacámac",3200,"Activo"
323,"I.E. Abraham Valdelomar","Av. La Marina 3228","Jesús María",2850,"Activo"
324,"Universidad César Vallejo","Av. Túpac Amaru 6966","Chorrillos",4350,"Inactivo"
325,"Colegio María Reiche","Av. Abancay 2193","Carabayllo",2550,"Activo"
326,"Colegio Túpac Amaru","Av. Benavides 8161","San Juan de Lurigancho",3450,"Activo"
327,"Centro Educativo Santa Rosa","Av. Universitaria 1983","Pachacámac",3100,"Activo"
328,"Instituto San Martín","Av. Angamos 6021","Santa Anita",3000,"Activo"
329,"Instituto José Faustino Sánchez Carrión","Av. La Marina 6167","Comas",4200,"Inactivo"
330,"Universidad Túpac Amaru","Av. Aviación 210","Lince",2900,"Inactivo"
331,"Centro Educativo Daniel Alcides Carrión","Av. Benavides 443","San Juan de Miraflores",600,"Activo"
332,"Colegio José Gálvez","Av. Abancay 5205","Pucusana",4650,"Activo"
333,"Instituto Ricardo Palma","Av. Abancay 3032","San Luis",3900,"Activo"
334,"Universidad Víctor Raúl Haya de la Torre","Av. Wiesse 6245","San Juan de Miraflores",4000,"Activo"
335,"Colegio Andrés Avelino Cáceres","Av. Tomás Valle 8972","Punta Negra",3400,"Activo"
336,"Instituto Abraham Valdelomar","Av. Próceres de la Independencia 1029","Lurigancho",1350,"Activo"
337,"Instituto Nuestra Señora de Guadalupe","Av. La Marina 6256","Punta Negra",4700,"Activo"
338,"Universidad Víctor Raúl Haya de la Torre","Av. Brasil 4413","Santa María del Mar",1150,"Activo"
339,"Instituto Nuestra Señora de Guadalupe","Av. Abancay 624","Barranco",500,"Activo"
340,"Centro Educativo Túpac Amaru","Av. Tomás Valle 6616","Rímac",1650,"Activo"
341,"Universidad San Martín","Av. Brasil 6045","Jesús María",4650,"Activo"
342,"Colegio Ricardo Palma","Av. Javier Prado 1189","Villa El Salvador",2050,"Activo"
343,"Colegio Andrés Avelino Cáceres","Av. Próceres de la Independencia 4844","Miraflores",3900,"Activo"
344,"Centro Educativo María Reiche","Av. Angamos 5826","Villa El Salvador",2150,"Activo"
345,"Centro Educativo María Reiche","Av. Tomás Valle 5316","Cieneguilla",1500,"Activo"
346,"Colegio Nuestra Señora de Guadalupe","Av. Túpac Amaru 7199","Chorrillos",2450,"Activo"
347,"I.E. José Faustino Sánchez Carrión","Av. Próceres de la Independencia 2518","Santa María del Mar",1950,"Activo"
348,"Instituto Santa Rosa","Av. Túpac Amaru 8819","Jesús María",1500,"Activo"
349,"I.E. Víctor Raúl Haya de la Torre","Av. Arequipa 6466","Los Olivos",1050,"Activo"
350,"Instituto José Faustino Sánchez Carrión","Av. Javier Prado 137","Barranco",3900,"Activo"
351,"I.E. Alfonso Ugarte","Av. Aviación 7616","La Victoria",2150,"Activo"
352,"Centro Educativo José María Arguedas","Av. Arequipa 4303","La Victoria",4400,"Activo"
353,"Centro Educativo Túpac Amaru","Av. La Marina 3754","Carabayllo",4800,"Activo"
354,"Colegio San Martín","Av. Túpac Amaru 6983","La Victoria",2700,"Activo"
355,"Centro Educativo Ricardo Palma","Av. Benavides 7910","Barranco",3350,"Activo"
356,"Instituto Miguel Grau","Av. Los Alisos 5733","Pachacámac",2350,"Activo"
357,"Colegio José Gálvez","Av. Los Alisos 1343","Comas",4800,"Activo"
358,"Colegio Andrés Avelino Cáceres","Av. Abancay 5266","Miraflores",4950,"Activo"
359,"Universidad Nuestra Señora de Guadalupe","Av. Túpac Amaru 3269","Santa Rosa",1850,"Activo"
360,"Centro Educativo Miguel Grau","Av. Brasil 4377","Magdalena del Mar",550,"Inactivo"
361,"Colegio José Carlos Mariátegui","Av. Brasil 8867","Breña",3450,"Activo"
362,"Instituto José Carlos Mariátegui","Av. Javier Prado 2200","Chaclacayo",1250,"Activo"
363,"Centro Educativo Nuestra Señora de Guadalupe","Av. Universitaria 2089","Comas",1450,"Activo"
364,"I.E. Abraham Valdelomar","Av. Wiesse 1267","Los Olivos",950,"Activo"
365,"Universidad Nuestra Señora de Guadalupe","Av. Los Próceres 9804","Los Olivos",3850,"Activo"
366,"Centro Educativo Miguel Grau","Av. Aviación 8968","San Isidro",1450,"Activo"
367,"Centro Educativo José Gálvez","Av. Universitaria 8385","Villa El Salvador",950,"Inactivo"
368,"Centro Educativo Alfonso Ugarte","Av. Angamos 5910","Pueblo Libre",600,"Activo"
369,"Centro Educativo Andrés Avelino Cáceres","Av. Arequipa 8073","Santa Rosa",900,"Activo"
370,"Instituto Abraham Valdelomar","Av. Brasil 3763","San Luis",1350,"Activo"
371,"I.E. Andrés Avelino Cáceres","Av. Aviación 5683","Lince",1850,"Activo"
372,"I.E. Alfonso Ugarte","Av. Aviación 4777","El Agustino",4400,"Activo"
373,"Colegio Andrés Avelino Cáceres","Av. Arequipa 6990","Puente Piedra",1650,"Activo"
374,"Colegio César Vallejo","Av. Tomás Valle 2653","San Juan de Miraflores",4900,"Activo"
375,"Universidad María Reiche","Av. Aviación 7689","San Borja",2950,"Activo"
376,"Centro Educativo San Martín","Av. Aviación 9644","Villa María del Triunfo",2000,"Activo"
377,"Instituto Andrés Avelino Cáceres","Av. Wiesse 8301","Punta Negra",4950,"Activo"
378,"Colegio José Olaya","Av. Brasil 986","Santa María del Mar",850,"Inactivo"
379,"I.E. Leoncio Prado","Av. Los Próceres 1036","Breña",2500,"Activo"
380,"I.E. San Martín","Av. Aviación 3658","Comas",3550,"Activo"
381,"I.E. Alfonso Ugarte","Av. Túpac Amaru 3756","Villa María del Triunfo",3550,"Activo"
382,"I.E. José Carlos Mariátegui","Av. Túpac Amaru 4790","Lurín",3850,"Activo"
383,"Centro Educativo Alfonso Ugarte","Av. Wiesse 1098","Punta Negra",3800,"Activo"
384,"Colegio José Carlos Mariátegui","Av. Los Alisos 4361","Los Olivos",3900,"Activo"
385,"Instituto Túpac Amaru","Av. Los Alisos 5730","Lima",3650,"Activo"
386,"Colegio Víctor Raúl Haya de la Torre","Av. Los Alisos 3355","La Victoria",1550,"Activo"
387,"Instituto Abraham Valdelomar","Av. Arequipa 6656","Independencia",3600,"Activo"
388,"Colegio José Gálvez","Av. La Marina 4529","Villa María del Triunfo",800,"Activo"
389,"Centro Educativo Víctor Raúl Haya de la Torre","Av. Benavides 2559","Breña",1650,"Activo"
390,"Colegio Alfonso Ugarte","Av. Universitaria 3382","Pueblo Libre",3700,"Activo"
391,"I.E. José Gálvez","Av. Tomás Valle 6573","Magdalena del Mar",3450,"Activo"
392,"Universidad Miguel Grau","Av. Abancay 8926","Puente Piedra",3150,"Activo"
393,"Colegio Leoncio Prado","Av. Próceres de la Independencia 2560","Comas",1550,"Activo"
394,"Colegio José Olaya","Av. Los Alisos 8281","Lurigancho",4050,"Activo"
395,"Universidad José María Arguedas","Av. Javier Prado 7224","La Molina",2700,"Activo"
396,"I.E. Abraham Valdelomar","Av. Los Próceres 4012","La Victoria",3400,"Activo"
397,"I.E. San Martín","Av. Arequipa 8486","Cieneguilla",950,"Activo"
398,"Colegio César Vallejo","Av. Brasil 6332","Magdalena del Mar",1300,"Activo"
399,"Instituto Alfonso Ugarte","Av. Tomás Valle 908","Santa María del Mar",1700,"Activo"
400,"I.E. Leoncio Prado","Av. Tomás Valle 3953","Comas",2950,"Activo"
401,"Instituto San Martín","Av. La Marina 3487","Lince",2700,"Activo"
402,"Instituto Ricardo Palma","Av. Wiesse 9854","Pucusana",3200,"Activo"
403,"I.E. José María Arguedas","Av. Javier Prado 1087","Santa Anita",1300,"Inactivo"
404,"Universidad Abraham Valdelomar","Av. La Marina 492","Comas",500,"Activo"
405,"I.E. Alfonso Ugarte","Av. Túpac Amaru 751","Jesús María",1750,"Activo"
406,"I.E. Leoncio Prado","Av. Aviación 6534","Chaclacayo",1050,"Activo"
407,"I.E. José Gálvez","Av. Brasil 4497","Punta Hermosa",3600,"Activo"
408,"Colegio César Vallejo","Av. Universitaria 5699","El Agustino",850,"Activo"
409,"Colegio Andrés Avelino Cáceres","Av. Angamos 7220","La Molina",1250,"Activo"
410,"Instituto María Reiche","Av. Próceres de la Independencia 4918","Ate",2250,"Activo"
411,"Universidad Ricardo Palma","Av. Benavides 9752","San Martín de Porres",2300,"Activo"
412,"Universidad José Gálvez","Av. Arequipa 3448","Santa Anita",2250,"Activo"
413,"Colegio Leoncio Prado","Av. Próceres de la Independencia 4959","Puente Piedra",550,"Activo"
414,"Instituto Miguel Grau","Av. Universitaria 3410","Villa El Salvador",2450,"Activo"
415,"Universidad José María Arguedas","Av. Benavides 2571","Barranco",1500,"Activo"
416,"Universidad César Vallejo","Av. Wiesse 9088","Jesús María",2700,"Activo"
417,"Colegio Daniel Alcides Carrión","Av. Tomás Valle 5762","Pachacámac",2100,"Activo"
418,"I.E. Miguel Grau","Av. Abancay 1300","San Isidro",4800,"Activo"
419,"Colegio José Gálvez","Av. Javier Prado 6086","Carabayllo",4150,"Activo"
420,"I.E. José María Arguedas","Av. Angamos 1610","Pucusana",3150,"Activo"
421,"Centro Educativo Andrés Avelino Cáceres","Av. Próceres de la Independencia 4701","San Bartolo",1500,"Activo"
422,"I.E. Alfonso Ugarte","Av. Túpac Amaru 5185","Miraflores",600,"Activo"
423,"Centro Educativo Nuestra Señora de Guadalupe","Av. Aviación 8896","Pucusana",4000,"Activo"
424,"I.E. José Gálvez","Av. Brasil 4781","Santa Anita",1400,"Activo"
425,"Colegio Nuestra Señora de Guadalupe","Av. Tomás Valle 3136","Chaclacayo",1200,"Activo"
426,"Centro Educativo César Vallejo","Av. Tomás Valle 1335","Chaclacayo",4350,"Activo"
427,"Colegio César Vallejo","Av. Angamos 3254","Surquillo",4400,"Activo"
428,"Centro Educativo José Olaya","Av. Benavides 4759","Punta Hermosa",1450,"Activo"
429,"I.E. Víctor Raúl Haya de la Torre","Av. Tomás Valle 9350","Lince",1100,"Activo"
430,"Instituto Nuestra Señora de Guadalupe","Av. Abancay 5238","Pueblo Libre",3400,"Activo"
431,"Universidad Abraham Valdelomar","Av. Los Próceres 9858","Santiago de Surco",2950,"Activo"
432,"Colegio Túpac Amaru","Av. La Marina 3888","Santa Anita",2700,"Activo"
433,"Centro Educativo José María Arguedas","Av. Benavides 5562","Lurín",2900,"Activo"
434,"Centro Educativo San Martín","Av. Aviación 9015","El Agustino",2200,"Activo"
435,"Instituto Miguel Grau","Av. Angamos 1938","Comas",850,"Activo"
436,"Colegio Leoncio Prado","Av. Brasil 2448","Surquillo",1600,"Activo"
437,"Centro Educativo Ricardo Palma","Av. Javier Prado 1511","Surquillo",3250,"Activo"
438,"Instituto José Olaya","Av. Próceres de la Independencia 3372","Comas",3850,"Activo"
439,"Instituto Víctor Raúl Haya de la Torre","Av. Los Próceres 2157","Punta Negra",2500,"Activo"
440,"I.E. César Vallejo","Av. Angamos 5606","Lince",4800,"Activo"
441,"Instituto Túpac Amaru","Av. Arequipa 9168","Carabayllo",1200,"Activo"
442,"Instituto Víctor Raúl Haya de la Torre","Av. Abancay 8081","Santa Rosa",2550,"Activo"
443,"Universidad Leoncio Prado","Av. Angamos 9314","Jesús María",4950,"Activo"
444,"I.E. Leoncio Prado","Av. Tomás Valle 1279","Lince",2750,"Activo"
445,"Colegio Víctor Raúl Haya de la Torre","Av. La Marina 7213","Jesús María",1700,"Activo"
446,"I.E. Andrés Avelino Cáceres","Av. Los Alisos 5764","Punta Hermosa",2800,"Activo"
447,"Instituto Alfonso Ugarte","Av. Benavides 3213","Lince",3050,"Activo"
448,"I.E. José Gálvez","Av. Arequipa 9531","San Borja",2750,"Inactivo"
449,"Centro Educativo José María Arguedas","Av. Arequipa 8996","Lince",4700,"Activo"
450,"Colegio Alfonso Ugarte","Av. La Marina 8907","La Victoria",4850,"Activo"
451,"Colegio Abraham Valdelomar","Av. Tomás Valle 6247","Cieneguilla",2150,"Activo"
452,"Instituto Santa Rosa","Av. Wiesse 4539","Independencia",4700,"Activo"
453,"Centro Educativo Ricardo Palma","Av. Wiesse 8495","La Molina",600,"Activo"
454,"Centro Educativo César Vallejo","Av. Próceres de la Independencia 8142","Independencia",1100,"Activo"
455,"Universidad José Olaya","Av. Tomás Valle 479","San Borja",2000,"Inactivo"
456,"Colegio José Gálvez","Av. Abancay 2669","Comas",3000,"Activo"
457,"Centro Educativo Daniel Alcides Carrión","Av. Próceres de la Independencia 3876","Chorrillos",3900,"Activo"
458,"Centro Educativo San Martín","Av. Angamos 4202","Santiago de Surco",4000,"Inactivo"
459,"Instituto José María Arguedas","Av. La Marina 6277","Lurigancho",2900,"Activo"
460,"Colegio Nuestra Señora de Guadalupe","Av. Universitaria 1463","Barranco",1100,"Activo"
461,"Instituto San Martín","Av. Los Próceres 967","Carabayllo",3800,"Activo"
462,"I.E. Daniel Alcides Carrión","Av. Brasil 5184","Breña",1200,"Activo"
463,"Centro Educativo Víctor Raúl Haya de la Torre","Av. Los Próceres 3439","San Borja",3850,"Activo"
464,"Universidad Túpac Amaru","Av. Aviación 6705","Independencia",2150,"Activo"
465,"I.E. Santa Rosa","Av. Abancay 8372","Los Olivos",2600,"Activo"
466,"Colegio Miguel Grau","Av. Aviación 715","Santa Anita",1350,"Activo"
467,"Universidad San Martín","Av. Túpac Amaru 2550","Lima",800,"Activo"
468,"Instituto Abraham Valdelomar","Av. Universitaria 6832","Lince",1600,"Activo"
469,"Centro Educativo Nuestra Señora de Guadalupe","Av. Javier Prado 247","San Juan de Miraflores",1300,"Inactivo"
470,"Universidad Ricardo Palma","Av. Los Próceres 9860","Punta Hermosa",3100,"Activo"
471,"I.E. Santa Rosa","Av. Abancay 4116","Lince",1900,"Activo"
472,"Colegio Túpac Amaru","Av. Angamos 6373","Santa Rosa",3000,"Activo"
473,"Centro Educativo José Faustino Sánchez Carrión","Av. Wiesse 359","Villa El Salvador",1100,"Activo"
474,"I.E. San Martín","Av. Túpac Amaru 8266","Comas",4700,"Activo"
475,"Centro Educativo Miguel Grau","Av. Los Próceres 4056","Comas",2900,"Activo"
476,"Colegio César Vallejo","Av. Benavides 6678","Punta Negra",650,"Activo"
477,"Universidad José María Arguedas","Av. Abancay 4016","Punta Hermosa",3800,"Activo"
478,"Universidad Daniel Alcides Carrión","Av. Tomás Valle 1159","La Victoria",3100,"Activo"
479,"Instituto Ricardo Palma","Av. Aviación 3450","Pucusana",2450,"Activo"
480,"Instituto Nuestra Señora de Guadalupe","Av. Wiesse 7766","Punta Hermosa",2250,"Activo"
481,"Centro Educativo Víctor Raúl Haya de la Torre","Av. Universitaria 6703","Ancón",2150,"Activo"
482,"Colegio Túpac Amaru","Av. Próceres de la Independencia 5361","Punta Negra",500,"Activo"
483,"I.E. San Martín","Av. Wiesse 8530","La Victoria",3850,"Activo"
484,"Instituto San Martín","Av. Tomás Valle 5281","Surquillo",3500,"Activo"
485,"I.E. Alfonso Ugarte","Av. Túpac Amaru 3977","La Victoria",4100,"Activo"
486,"Instituto Miguel Grau","Av. Benavides 7397","Los Olivos",3200,"Activo"
487,"Instituto Daniel Alcides Carrión","Av. Angamos 6055","Magdalena del Mar",2100,"Activo"
488,"Centro Educativo Túpac Amaru","Av. Benavides 4922","Lurín",2650,"Activo"
489,"I.E. José María Arguedas","Av. Tomás Valle 3020","Ate",1200,"Activo"
490,"Instituto José Carlos Mariátegui","Av. Brasil 3024","Punta Hermosa",4750,"Activo"
491,"Instituto César Vallejo","Av. Wiesse 2027","San Martín de Porres",3250,"Activo"
492,"Centro Educativo José Olaya","Av. La Marina 1860","Carabayllo",2350,"Activo"
493,"Centro Educativo José Olaya","Av. Brasil 2168","Carabayllo",1600,"Inactivo"
494,"Colegio José María Arguedas","Av. Próceres de la Independencia 4618","Ate",3250,"Inactivo"
495,"Colegio César Vallejo","Av. Angamos 551","Carabayllo",900,"Activo"
496,"Universidad Miguel Grau","Av. Abancay 7377","Barranco",2900,"Activo"
497,"Universidad Andrés Avelino Cáceres","Av. Javier Prado 9638","San Martín de Porres",3050,"Activo"
498,"I.E. José Gálvez","Av. Túpac Amaru 2421","La Molina",1250,"Activo"
499,"Instituto Túpac Amaru","Av. Próceres de la Independencia 8940","San Borja",1850,"Activo"
500,"Instituto José Carlos Mariátegui","Av. Abancay 2831","Santa María del Mar",2800,"Activo"
501,"Centro Educativo José Olaya","Av. Los Próceres 231","San Isidro",1750,"Activo"
502,"I.E. Leoncio Prado","Av. Arequipa 7013","Comas",2100,"Activo"
503,"Centro Educativo José Quiñones","Av. Abancay 3505","Punta Negra",3400,"Activo"
504,"Centro Educativo Miguel Grau","Av. Abancay 4049","Breña",4800,"Activo"
505,"Centro Educativo José Faustino Sánchez Carrión","Av. Wiesse 7164","Ancón",3950,"Activo"
506,"Universidad Andrés Avelino Cáceres","Av. Tomás Valle 8963","Carabayllo",3500,"Inactivo"
507,"Instituto José Quiñones","Av. Tomás Valle 6252","Los Olivos",4750,"Activo"
508,"Universidad Andrés Avelino Cáceres","Av. Próceres de la Independencia 8373","Pucusana",2150,"Activo"
509,"Colegio Túpac Amaru","Av. Aviación 3819","Punta Negra",2700,"Activo"
510,"Colegio Alfonso Ugarte","Av. Túpac Amaru 9863","Chorrillos",1850,"Activo"
511,"Colegio Andrés Avelino Cáceres","Av. Universitaria 3020","Pachacámac",2450,"Inactivo"
512,"I.E. Nuestra Señora de Guadalupe","Av. Universitaria 4092","Santa Rosa",1650,"Activo"
513,"Colegio María Reiche","Av. Wiesse 634","Barranco",1050,"Activo"
514,"Centro Educativo Santa Rosa","Av. La Marina 713","El Agustino",1100,"Activo"
515,"Colegio José Olaya","Av. La Marina 3448","San Miguel",4700,"Activo"
516,"I.E. Leoncio Prado","Av. Tomás Valle 4084","Comas",800,"Activo"
517,"Centro Educativo Leoncio Prado","Av. Angamos 759","Puente Piedra",4600,"Activo"
518,"I.E. Alfonso Ugarte","Av. Wiesse 8479","Miraflores",3050,"Activo"
519,"Universidad Ricardo Palma","Av. Arequipa 6025","Punta Negra",2250,"Activo"
520,"Centro Educativo Miguel Grau","Av. Abancay 8314","Santa Rosa",1100,"Activo"
521,"I.E. Andrés Avelino Cáceres","Av. La Marina 9238","Santa Rosa",4650,"Activo"
522,"Universidad Túpac Amaru","Av. Aviación 3898","Chaclacayo",2650,"Activo"
523,"Colegio Daniel Alcides Carrión","Av. Aviación 8448","Punta Negra",4100,"Activo"
524,"Instituto José Gálvez","Av. Arequipa 5658","Surquillo",4450,"Activo"
525,"Colegio Andrés Avelino Cáceres","Av. Brasil 4758","Los Olivos",3750,"Activo"
526,"I.E. José Quiñones","Av. Universitaria 3407","San Juan de Lurigancho",3350,"Activo"
527,"I.E. José Quiñones","Av. Arequipa 8139","San Juan de Lurigancho",2550,"Activo"
528,"Colegio Víctor Raúl Haya de la Torre","Av. Próceres de la Independencia 4622","San Bartolo",2000,"Activo"
529,"Universidad José Olaya","Av. Javier Prado 3805","La Molina",2100,"Activo"
530,"Centro Educativo Abraham Valdelomar","Av. Abancay 1637","Miraflores",3500,"Activo"
531,"Universidad José Faustino Sánchez Carrión","Av. Túpac Amaru 1175","Chaclacayo",3000,"Activo"
532,"Universidad José Faustino Sánchez Carrión","Av. Javier Prado 4918","Lurín",1050,"Activo"
533,"I.E. César Vallejo","Av. Tomás Valle 9729","Santa María del Mar",1950,"Activo"
534,"Centro Educativo Santa Rosa","Av. Túpac Amaru 7733","Surquillo",3800,"Inactivo"
535,"Centro Educativo Nuestra Señora de Guadalupe","Av. Los Alisos 8173","Ate",1400,"Activo"
536,"I.E. Túpac Amaru","Av. La Marina 5794","Independencia",2550,"Activo"
537,"Instituto José Carlos Mariátegui","Av. Próceres de la Independencia 6684","Ate",1650,"Activo"
538,"Universidad José Olaya","Av. Angamos 6871","Ancón",2200,"Activo"
539,"Colegio Alfonso Ugarte","Av. Benavides 7206","Independencia",3250,"Activo"
540,"Colegio José Olaya","Av. Tomás Valle 4600","San Luis",1450,"Activo"
541,"Universidad Víctor Raúl Haya de la Torre","Av. Túpac Amaru 709","Surquillo",3850,"Activo"
542,"Centro Educativo Víctor Raúl Haya de la Torre","Av. Próceres de la Independencia 9502","San Luis",2700,"Activo"
543,"Centro Educativo César Vallejo","Av. Universitaria 2419","Rímac",3800,"Activo"
544,"Instituto César Vallejo","Av. Brasil 2538","Punta Hermosa",2550,"Activo"
545,"Universidad Túpac Amaru","Av. Benavides 7281","Santa Anita",2300,"Activo"
546,"Instituto San Martín","Av. Aviación 2562","Lurigancho",850,"Activo"
547,"Centro Educativo Alfonso Ugarte","Av. Angamos 7409","Puente Piedra",2700,"Activo"
548,"Colegio Alfonso Ugarte","Av. Arequipa 4887","Barranco",3200,"Activo"
549,"Universidad Santa Rosa","Av. La Marina 1926","Puente Piedra",4450,"Activo"
550,"Instituto Nuestra Señora de Guadalupe","Av. Brasil 8188","Puente Piedra",950,"Inactivo"
551,"Centro Educativo César Vallejo","Av. Benavides 7330","Miraflores",3050,"Activo"
552,"Instituto San Martín","Av. Abancay 8458","La Molina",2650,"Activo"
553,"Colegio Víctor Raúl Haya de la Torre","Av. Brasil 2693","Pucusana",2150,"Activo"
554,"Universidad Túpac Amaru","Av. Los Próceres 7975","San Bartolo",1550,"Activo"
555,"Centro Educativo Leoncio Prado","Av. Benavides 597","Puente Piedra",2300,"Activo"
556,"Instituto Andrés Avelino Cáceres","Av. Tomás Valle 9152","Barranco",3200,"Activo"
557,"Universidad María Reiche","Av. Túpac Amaru 393","Villa El Salvador",3500,"Activo"
558,"Instituto José Carlos Mariátegui","Av. Universitaria 8504","Lurigancho",3400,"Activo"
559,"Centro Educativo San Martín","Av. Angamos 6960","Puente Piedra",800,"Activo"
560,"Colegio Alfonso Ugarte","Av. Javier Prado 6600","San Juan de Miraflores",3800,"Activo"
561,"I.E. Alfonso Ugarte","Av. Abancay 144","Chorrillos",2050,"Activo"
562,"Colegio Túpac Amaru","Av. Wiesse 3927","Comas",3550,"Activo"
563,"Universidad Leoncio Prado","Av. Angamos 7214","Lurín",1450,"Activo"
564,"Instituto José Gálvez","Av. Brasil 4371","Santa Rosa",2450,"Inactivo"
565,"Centro Educativo Santa Rosa","Av. Wiesse 5410","Los Olivos",1800,"Activo"
566,"Universidad Santa Rosa","Av. Wiesse 9140","Chorrillos",1600,"Activo"
567,"Instituto San Martín","Av. Los Alisos 4641","La Victoria",1900,"Activo"
568,"I.E. Santa Rosa","Av. Angamos 7514","Pueblo Libre",3400,"Activo"
569,"Instituto José Olaya","Av. Arequipa 3711","San Isidro",2800,"Activo"
570,"Centro Educativo José Carlos Mariátegui","Av. Túpac Amaru 8770","Santa María del Mar",4100,"Activo"
571,"Centro Educativo Santa Rosa","Av. Wiesse 5988","Lince",2500,"Activo"
572,"Instituto Alfonso Ugarte","Av. Tomás Valle 7063","Lurín",1250,"Activo"
573,"Centro Educativo José Olaya","Av. Javier Prado 5933","San Borja",4950,"Activo"
574,"Instituto Santa Rosa","Av. Próceres de la Independencia 3956","Puente Piedra",4100,"Activo"
575,"Centro Educativo Daniel Alcides Carrión","Av. Javier Prado 6500","Ate",2750,"Activo"
576,"I.E. Túpac Amaru","Av. Abancay 6816","Lurigancho",1700,"Activo"
577,"Universidad Nuestra Señora de Guadalupe","Av. Benavides 3878","Lince",3050,"Activo"
578,"Centro Educativo Daniel Alcides Carrión","Av. Los Alisos 8123","Santa María del Mar",3550,"Activo"
579,"Colegio José María Arguedas","Av. La Marina 4786","San Juan de Miraflores",1150,"Activo"
580,"I.E. Abraham Valdelomar","Av. Abancay 1497","San Borja",3750,"Activo"
581,"Universidad José Olaya","Av. Abancay 6206","Punta Hermosa",2500,"Activo"
582,"Instituto Ricardo Palma","Av. La Marina 1553","Santa Rosa",1550,"Inactivo"
583,"Colegio Andrés Avelino Cáceres","Av. Los Próceres 5329","Ate",2400,"Activo"
584,"Centro Educativo Andrés Avelino Cáceres","Av. Los Próceres 6899","Breña",2150,"Activo"
585,"Instituto Nuestra Señora de Guadalupe","Av. La Marina 4886","Chorrillos",3350,"Activo"
586,"Colegio César Vallejo","Av. Universitaria 4017","La Molina",700,"Activo"
587,"I.E. Túpac Amaru","Av. Wiesse 798","Barranco",4700,"Activo"
588,"Centro Educativo José Olaya","Av. Aviación 7580","Lurigancho",4800,"Activo"
589,"Colegio María Reiche","Av. Tomás Valle 6103","Villa María del Triunfo",1650,"Activo"
590,"Universidad Túpac Amaru","Av. Wiesse 4670","Surquillo",3450,"Activo"
591,"Universidad Santa Rosa","Av. La Marina 4128","San Borja",3600,"Activo"
592,"Universidad José María Arguedas","Av. Túpac Amaru 8607","Puente Piedra",2900,"Activo"
593,"Universidad José Carlos Mariátegui","Av. La Marina 3006","Puente Piedra",4750,"Activo"
594,"Universidad José Carlos Mariátegui","Av. Abancay 1876","Santa María del Mar",3050,"Activo"
595,"I.E. Ricardo Palma","Av. Túpac Amaru 3201","San Isidro",4450,"Activo"
596,"Centro Educativo José Gálvez","Av. Próceres de la Independencia 9669","Lima",2500,"Activo"
597,"Instituto Miguel Grau","Av. La Marina 9013","Puente Piedra",3650,"Activo"
598,"Colegio José Quiñones","Av. Próceres de la Independencia 2389","Punta Hermosa",1600,"Activo"
599,"Centro Educativo José Carlos Mariátegui","Av. Javier Prado 544","Santiago de Surco",1850,"Activo"
600,"Universidad Santa Rosa","Av. Abancay 5698","Chaclacayo",1700,"Activo"
601,"Colegio Santa Rosa","Av. Aviación 9032","Ancón",3650,"Activo"
602,"I.E. César Vallejo","Av. Aviación 3145","Comas",2250,"Activo"
603,"Universidad Leoncio Prado","Av. Abancay 6249","San Luis",600,"Activo"
604,"Colegio José Olaya","Av. Próceres de la Independencia 4445","Barranco",1200,"Activo"
605,"Universidad Leoncio Prado","Av. Los Próceres 8434","Magdalena del Mar",3350,"Activo"
606,"I.E. Túpac Amaru","Av. Los Alisos 5167","San Luis",3550,"Activo"
607,"I.E. Abraham Valdelomar","Av. Arequipa 542","Lince",850,"Activo"
608,"Centro Educativo Miguel Grau","Av. Tomás Valle 3312","La Victoria",1350,"Activo"
609,"Instituto Víctor Raúl Haya de la Torre","Av. Abancay 5416","Ate",2650,"Activo"
610,"Centro Educativo Alfonso Ugarte","Av. Javier Prado 9036","Jesús María",2750,"Activo"
611,"Instituto María Reiche","Av. Próceres de la Independencia 5644","San Luis",1000,"Activo"
